model_name,epsilon,K,seed,plot,n_cal,nu,values,Method
BRR,0.50000,4,1,nu_var,100,0.00000,0.05901,RR
BRR,0.50000,4,1,nu_var,100,0.00000,0.06005,CVX
BRR,0.50000,4,1,nu_var,100,0.10000,0.14891,RR
BRR,0.50000,4,1,nu_var,100,0.10000,0.11096,CVX
BRR,0.50000,4,1,nu_var,100,0.20000,0.22461,RR
BRR,0.50000,4,1,nu_var,100,0.20000,0.15158,CVX
BRR,0.50000,4,1,nu_var,100,0.30000,0.28795,RR
BRR,0.50000,4,1,nu_var,100,0.30000,0.18633,CVX
BRR,0.50000,4,1,nu_var,100,0.40000,0.33998,RR
BRR,0.50000,4,1,nu_var,100,0.40000,0.21881,CVX
BRR,0.50000,4,1,nu_var,100,0.50000,0.38750,RR
BRR,0.50000,4,1,nu_var,100,0.50000,0.24491,CVX
BRR,0.50000,4,1,nu_var,100,0.60000,0.42754,RR
BRR,0.50000,4,1,nu_var,100,0.60000,0.26803,CVX
BRR,0.50000,4,1,nu_var,100,0.70000,0.46366,RR
BRR,0.50000,4,1,nu_var,100,0.70000,0.28645,CVX
BRR,0.50000,4,1,nu_var,100,0.80000,0.49465,RR
BRR,0.50000,4,1,nu_var,100,0.80000,0.30308,CVX
BRR,0.50000,4,1,nu_var,100,0.90000,0.52427,RR
BRR,0.50000,4,1,nu_var,100,0.90000,0.32166,CVX
BRR,0.50000,4,1,nu_var,100,1.00000,0.55193,RR
BRR,0.50000,4,1,nu_var,100,1.00000,0.33869,CVX
BRR,0.50000,4,1,nu_var,500,0.00000,0.02685,RR
BRR,0.50000,4,1,nu_var,500,0.00000,0.02778,CVX
BRR,0.50000,4,1,nu_var,500,0.10000,0.07349,RR
BRR,0.50000,4,1,nu_var,500,0.10000,0.05276,CVX
BRR,0.50000,4,1,nu_var,500,0.20000,0.11026,RR
BRR,0.50000,4,1,nu_var,500,0.20000,0.07356,CVX
BRR,0.50000,4,1,nu_var,500,0.30000,0.14058,RR
BRR,0.50000,4,1,nu_var,500,0.30000,0.09200,CVX
BRR,0.50000,4,1,nu_var,500,0.40000,0.16932,RR
BRR,0.50000,4,1,nu_var,500,0.40000,0.10572,CVX
BRR,0.50000,4,1,nu_var,500,0.50000,0.19186,RR
BRR,0.50000,4,1,nu_var,500,0.50000,0.11991,CVX
BRR,0.50000,4,1,nu_var,500,0.60000,0.21223,RR
BRR,0.50000,4,1,nu_var,500,0.60000,0.13063,CVX
BRR,0.50000,4,1,nu_var,500,0.70000,0.23066,RR
BRR,0.50000,4,1,nu_var,500,0.70000,0.14032,CVX
BRR,0.50000,4,1,nu_var,500,0.80000,0.24697,RR
BRR,0.50000,4,1,nu_var,500,0.80000,0.15032,CVX
BRR,0.50000,4,1,nu_var,500,0.90000,0.26144,RR
BRR,0.50000,4,1,nu_var,500,0.90000,0.15744,CVX
BRR,0.50000,4,1,nu_var,500,1.00000,0.27424,RR
BRR,0.50000,4,1,nu_var,500,1.00000,0.16444,CVX
BRR,0.50000,4,1,nu_var,1000,0.00000,0.01927,RR
BRR,0.50000,4,1,nu_var,1000,0.00000,0.01947,CVX
BRR,0.50000,4,1,nu_var,1000,0.10000,0.05279,RR
BRR,0.50000,4,1,nu_var,1000,0.10000,0.03868,CVX
BRR,0.50000,4,1,nu_var,1000,0.20000,0.08016,RR
BRR,0.50000,4,1,nu_var,1000,0.20000,0.05383,CVX
BRR,0.50000,4,1,nu_var,1000,0.30000,0.10392,RR
BRR,0.50000,4,1,nu_var,1000,0.30000,0.06629,CVX
BRR,0.50000,4,1,nu_var,1000,0.40000,0.12390,RR
BRR,0.50000,4,1,nu_var,1000,0.40000,0.07809,CVX
BRR,0.50000,4,1,nu_var,1000,0.50000,0.14196,RR
BRR,0.50000,4,1,nu_var,1000,0.50000,0.08698,CVX
BRR,0.50000,4,1,nu_var,1000,0.60000,0.15616,RR
BRR,0.50000,4,1,nu_var,1000,0.60000,0.09490,CVX
BRR,0.50000,4,1,nu_var,1000,0.70000,0.16973,RR
BRR,0.50000,4,1,nu_var,1000,0.70000,0.10268,CVX
BRR,0.50000,4,1,nu_var,1000,0.80000,0.18198,RR
BRR,0.50000,4,1,nu_var,1000,0.80000,0.10997,CVX
BRR,0.50000,4,1,nu_var,1000,0.90000,0.19247,RR
BRR,0.50000,4,1,nu_var,1000,0.90000,0.11486,CVX
BRR,0.50000,4,1,nu_var,1000,1.00000,0.20206,RR
BRR,0.50000,4,1,nu_var,1000,1.00000,0.12065,CVX
