model_name,epsilon,nu,seed,plot,n_cal,K,values,Method
BRR,0.50000,0.20000,1,nlab,50,2,0.28790,RR
BRR,0.50000,0.20000,1,nlab,50,2,0.08316,CVX
BRR,0.50000,0.20000,1,nlab,50,4,0.30189,RR
BRR,0.50000,0.20000,1,nlab,50,4,0.20841,CVX
BRR,0.50000,0.20000,1,nlab,50,6,0.30939,RR
BRR,0.50000,0.20000,1,nlab,50,6,0.25561,CVX
BRR,0.50000,0.20000,1,nlab,50,8,0.31704,RR
BRR,0.50000,0.20000,1,nlab,50,8,0.27994,CVX
BRR,0.50000,0.20000,1,nlab,50,10,0.32080,RR
BRR,0.50000,0.20000,1,nlab,50,10,0.29031,CVX
BRR,0.50000,0.20000,1,nlab,50,12,0.32280,RR
BRR,0.50000,0.20000,1,nlab,50,12,0.29566,CVX
BRR,0.50000,0.20000,1,nlab,50,14,0.32890,RR
BRR,0.50000,0.20000,1,nlab,50,14,0.29866,CVX
BRR,0.50000,0.20000,1,nlab,50,16,0.33094,RR
BRR,0.50000,0.20000,1,nlab,50,16,0.30006,CVX
BRR,0.50000,0.20000,1,nlab,50,18,0.33503,RR
BRR,0.50000,0.20000,1,nlab,50,18,0.30234,CVX
BRR,0.50000,0.20000,1,nlab,50,20,0.33268,RR
BRR,0.50000,0.20000,1,nlab,50,20,0.30484,CVX
BRR,0.50000,0.20000,1,nlab,100,2,0.21477,RR
BRR,0.50000,0.20000,1,nlab,100,2,0.06088,CVX
BRR,0.50000,0.20000,1,nlab,100,4,0.22672,RR
BRR,0.50000,0.20000,1,nlab,100,4,0.15345,CVX
BRR,0.50000,0.20000,1,nlab,100,6,0.23061,RR
BRR,0.50000,0.20000,1,nlab,100,6,0.18765,CVX
BRR,0.50000,0.20000,1,nlab,100,8,0.23431,RR
BRR,0.50000,0.20000,1,nlab,100,8,0.20646,CVX
BRR,0.50000,0.20000,1,nlab,100,10,0.23719,RR
BRR,0.50000,0.20000,1,nlab,100,10,0.21582,CVX
BRR,0.50000,0.20000,1,nlab,100,12,0.23858,RR
BRR,0.50000,0.20000,1,nlab,100,12,0.21878,CVX
BRR,0.50000,0.20000,1,nlab,100,14,0.24224,RR
BRR,0.50000,0.20000,1,nlab,100,14,0.21961,CVX
BRR,0.50000,0.20000,1,nlab,100,16,0.24379,RR
BRR,0.50000,0.20000,1,nlab,100,16,0.22163,CVX
BRR,0.50000,0.20000,1,nlab,100,18,0.24437,RR
BRR,0.50000,0.20000,1,nlab,100,18,0.22324,CVX
BRR,0.50000,0.20000,1,nlab,100,20,0.24512,RR
BRR,0.50000,0.20000,1,nlab,100,20,0.22484,CVX
BRR,0.50000,0.20000,1,nlab,500,2,0.10614,RR
BRR,0.50000,0.20000,1,nlab,500,2,0.02688,CVX
BRR,0.50000,0.20000,1,nlab,500,4,0.10997,RR
BRR,0.50000,0.20000,1,nlab,500,4,0.07379,CVX
BRR,0.50000,0.20000,1,nlab,500,6,0.11189,RR
BRR,0.50000,0.20000,1,nlab,500,6,0.08991,CVX
BRR,0.50000,0.20000,1,nlab,500,8,0.11360,RR
BRR,0.50000,0.20000,1,nlab,500,8,0.09806,CVX
BRR,0.50000,0.20000,1,nlab,500,10,0.11556,RR
BRR,0.50000,0.20000,1,nlab,500,10,0.10394,CVX
BRR,0.50000,0.20000,1,nlab,500,12,0.11558,RR
BRR,0.50000,0.20000,1,nlab,500,12,0.10670,CVX
BRR,0.50000,0.20000,1,nlab,500,14,0.11656,RR
BRR,0.50000,0.20000,1,nlab,500,14,0.10766,CVX
BRR,0.50000,0.20000,1,nlab,500,16,0.11750,RR
BRR,0.50000,0.20000,1,nlab,500,16,0.10820,CVX
BRR,0.50000,0.20000,1,nlab,500,18,0.11807,RR
BRR,0.50000,0.20000,1,nlab,500,18,0.10874,CVX
BRR,0.50000,0.20000,1,nlab,500,20,0.11810,RR
BRR,0.50000,0.20000,1,nlab,500,20,0.10854,CVX
