model_name,epsilon,nu,seed,plot,n_cal,K,values,Method
BRR,0.50000,0.50000,1,nlab,50,2,0.49010,RR
BRR,0.50000,0.50000,1,nlab,50,2,0.08688,CVX
BRR,0.50000,0.50000,1,nlab,50,4,0.51911,RR
BRR,0.50000,0.50000,1,nlab,50,4,0.33122,CVX
BRR,0.50000,0.50000,1,nlab,50,6,0.53435,RR
BRR,0.50000,0.50000,1,nlab,50,6,0.42466,CVX
BRR,0.50000,0.50000,1,nlab,50,8,0.54578,RR
BRR,0.50000,0.50000,1,nlab,50,8,0.46949,CVX
BRR,0.50000,0.50000,1,nlab,50,10,0.55520,RR
BRR,0.50000,0.50000,1,nlab,50,10,0.49881,CVX
BRR,0.50000,0.50000,1,nlab,50,12,0.56216,RR
BRR,0.50000,0.50000,1,nlab,50,12,0.50486,CVX
BRR,0.50000,0.50000,1,nlab,50,14,0.56830,RR
BRR,0.50000,0.50000,1,nlab,50,14,0.51097,CVX
BRR,0.50000,0.50000,1,nlab,50,16,0.57361,RR
BRR,0.50000,0.50000,1,nlab,50,16,0.51553,CVX
BRR,0.50000,0.50000,1,nlab,50,18,0.57725,RR
BRR,0.50000,0.50000,1,nlab,50,18,0.52087,CVX
BRR,0.50000,0.50000,1,nlab,50,20,0.58349,RR
BRR,0.50000,0.50000,1,nlab,50,20,0.52428,CVX
BRR,0.50000,0.50000,1,nlab,100,2,0.36863,RR
BRR,0.50000,0.50000,1,nlab,100,2,0.05904,CVX
BRR,0.50000,0.50000,1,nlab,100,4,0.38652,RR
BRR,0.50000,0.50000,1,nlab,100,4,0.24386,CVX
BRR,0.50000,0.50000,1,nlab,100,6,0.39917,RR
BRR,0.50000,0.50000,1,nlab,100,6,0.31524,CVX
BRR,0.50000,0.50000,1,nlab,100,8,0.40347,RR
BRR,0.50000,0.50000,1,nlab,100,8,0.34981,CVX
BRR,0.50000,0.50000,1,nlab,100,10,0.41063,RR
BRR,0.50000,0.50000,1,nlab,100,10,0.36994,CVX
BRR,0.50000,0.50000,1,nlab,100,12,0.41712,RR
BRR,0.50000,0.50000,1,nlab,100,12,0.37552,CVX
BRR,0.50000,0.50000,1,nlab,100,14,0.42091,RR
BRR,0.50000,0.50000,1,nlab,100,14,0.37924,CVX
BRR,0.50000,0.50000,1,nlab,100,16,0.42342,RR
BRR,0.50000,0.50000,1,nlab,100,16,0.38223,CVX
BRR,0.50000,0.50000,1,nlab,100,18,0.42791,RR
BRR,0.50000,0.50000,1,nlab,100,18,0.38574,CVX
BRR,0.50000,0.50000,1,nlab,100,20,0.42852,RR
BRR,0.50000,0.50000,1,nlab,100,20,0.38813,CVX
BRR,0.50000,0.50000,1,nlab,500,2,0.18495,RR
BRR,0.50000,0.50000,1,nlab,500,2,0.02733,CVX
BRR,0.50000,0.50000,1,nlab,500,4,0.19227,RR
BRR,0.50000,0.50000,1,nlab,500,4,0.11817,CVX
BRR,0.50000,0.50000,1,nlab,500,6,0.19650,RR
BRR,0.50000,0.50000,1,nlab,500,6,0.15179,CVX
BRR,0.50000,0.50000,1,nlab,500,8,0.19897,RR
BRR,0.50000,0.50000,1,nlab,500,8,0.17078,CVX
BRR,0.50000,0.50000,1,nlab,500,10,0.20060,RR
BRR,0.50000,0.50000,1,nlab,500,10,0.18169,CVX
BRR,0.50000,0.50000,1,nlab,500,12,0.20359,RR
BRR,0.50000,0.50000,1,nlab,500,12,0.18510,CVX
BRR,0.50000,0.50000,1,nlab,500,14,0.20471,RR
BRR,0.50000,0.50000,1,nlab,500,14,0.18653,CVX
BRR,0.50000,0.50000,1,nlab,500,16,0.20600,RR
BRR,0.50000,0.50000,1,nlab,500,16,0.18802,CVX
BRR,0.50000,0.50000,1,nlab,500,18,0.20750,RR
BRR,0.50000,0.50000,1,nlab,500,18,0.18956,CVX
BRR,0.50000,0.50000,1,nlab,500,20,0.20889,RR
BRR,0.50000,0.50000,1,nlab,500,20,0.19026,CVX
