model_name,epsilon,nu,seed,plot,n_cal,K,values,Method
BRR,0.10000,0.50000,1,Klab,500,4,0.04267,RR
BRR,0.10000,0.50000,1,Klab,500,4,0.03539,CVX
BRR,0.10000,0.50000,1,Klab,1000,4,0.02978,RR
BRR,0.10000,0.50000,1,Klab,1000,4,0.02597,CVX
BRR,0.10000,0.50000,1,Klab,2000,4,0.02147,RR
BRR,0.10000,0.50000,1,Klab,2000,4,0.01859,CVX
BRR,0.10000,0.50000,1,Klab,5000,4,0.01396,RR
BRR,0.10000,0.50000,1,Klab,5000,4,0.01175,CVX
BRR,0.10000,0.50000,1,Klab,10000,4,0.00987,RR
BRR,0.10000,0.50000,1,Klab,10000,4,0.00819,CVX
BRR,0.10000,0.50000,1,Klab,20000,4,0.00724,RR
BRR,0.10000,0.50000,1,Klab,20000,4,0.00603,CVX
BRR,0.10000,0.50000,1,Klab,50000,4,0.00459,RR
BRR,0.10000,0.50000,1,Klab,50000,4,0.00397,CVX
BRR,0.10000,0.50000,1,Klab,500,8,0.04260,RR
BRR,0.10000,0.50000,1,Klab,500,8,0.04026,CVX
BRR,0.10000,0.50000,1,Klab,1000,8,0.03020,RR
BRR,0.10000,0.50000,1,Klab,1000,8,0.02885,CVX
BRR,0.10000,0.50000,1,Klab,2000,8,0.02228,RR
BRR,0.10000,0.50000,1,Klab,2000,8,0.02083,CVX
BRR,0.10000,0.50000,1,Klab,5000,8,0.01428,RR
BRR,0.10000,0.50000,1,Klab,5000,8,0.01317,CVX
BRR,0.10000,0.50000,1,Klab,10000,8,0.01006,RR
BRR,0.10000,0.50000,1,Klab,10000,8,0.00933,CVX
BRR,0.10000,0.50000,1,Klab,20000,8,0.00728,RR
BRR,0.10000,0.50000,1,Klab,20000,8,0.00678,CVX
BRR,0.10000,0.50000,1,Klab,50000,8,0.00470,RR
BRR,0.10000,0.50000,1,Klab,50000,8,0.00432,CVX
BRR,0.10000,0.50000,1,Klab,500,16,0.04315,RR
BRR,0.10000,0.50000,1,Klab,500,16,0.04173,CVX
BRR,0.10000,0.50000,1,Klab,1000,16,0.03102,RR
BRR,0.10000,0.50000,1,Klab,1000,16,0.02987,CVX
BRR,0.10000,0.50000,1,Klab,2000,16,0.02255,RR
BRR,0.10000,0.50000,1,Klab,2000,16,0.02163,CVX
BRR,0.10000,0.50000,1,Klab,5000,16,0.01450,RR
BRR,0.10000,0.50000,1,Klab,5000,16,0.01393,CVX
BRR,0.10000,0.50000,1,Klab,10000,16,0.01023,RR
BRR,0.10000,0.50000,1,Klab,10000,16,0.01003,CVX
BRR,0.10000,0.50000,1,Klab,20000,16,0.00740,RR
BRR,0.10000,0.50000,1,Klab,20000,16,0.00702,CVX
BRR,0.10000,0.50000,1,Klab,50000,16,0.00480,RR
BRR,0.10000,0.50000,1,Klab,50000,16,0.00454,CVX
