model_name,epsilon,K,seed,plot,n_cal,nu,values,Method
BRR,0.10000,8,1,nu_var,100,0.00000,0.06188,RR
BRR,0.10000,8,1,nu_var,100,0.00000,0.06043,CVX
BRR,0.10000,8,1,nu_var,100,0.10000,0.06703,RR
BRR,0.10000,8,1,nu_var,100,0.10000,0.06634,CVX
BRR,0.10000,8,1,nu_var,100,0.20000,0.07330,RR
BRR,0.10000,8,1,nu_var,100,0.20000,0.07295,CVX
BRR,0.10000,8,1,nu_var,100,0.30000,0.08095,RR
BRR,0.10000,8,1,nu_var,100,0.30000,0.07630,CVX
BRR,0.10000,8,1,nu_var,100,0.40000,0.08543,RR
BRR,0.10000,8,1,nu_var,100,0.40000,0.07961,CVX
BRR,0.10000,8,1,nu_var,100,0.50000,0.09039,RR
BRR,0.10000,8,1,nu_var,100,0.50000,0.08622,CVX
BRR,0.10000,8,1,nu_var,100,0.60000,0.09960,RR
BRR,0.10000,8,1,nu_var,100,0.60000,0.09208,CVX
BRR,0.10000,8,1,nu_var,100,0.70000,0.10053,RR
BRR,0.10000,8,1,nu_var,100,0.70000,0.09726,CVX
BRR,0.10000,8,1,nu_var,100,0.80000,0.10569,RR
BRR,0.10000,8,1,nu_var,100,0.80000,0.10266,CVX
BRR,0.10000,8,1,nu_var,100,0.90000,0.11305,RR
BRR,0.10000,8,1,nu_var,100,0.90000,0.10559,CVX
BRR,0.10000,8,1,nu_var,100,1.00000,0.11842,RR
BRR,0.10000,8,1,nu_var,100,1.00000,0.10971,CVX
BRR,0.10000,8,1,nu_var,500,0.00000,0.02794,RR
BRR,0.10000,8,1,nu_var,500,0.00000,0.02768,CVX
BRR,0.10000,8,1,nu_var,500,0.10000,0.03091,RR
BRR,0.10000,8,1,nu_var,500,0.10000,0.03111,CVX
BRR,0.10000,8,1,nu_var,500,0.20000,0.03348,RR
BRR,0.10000,8,1,nu_var,500,0.20000,0.03199,CVX
BRR,0.10000,8,1,nu_var,500,0.30000,0.03720,RR
BRR,0.10000,8,1,nu_var,500,0.30000,0.03489,CVX
BRR,0.10000,8,1,nu_var,500,0.40000,0.04026,RR
BRR,0.10000,8,1,nu_var,500,0.40000,0.03769,CVX
BRR,0.10000,8,1,nu_var,500,0.50000,0.04322,RR
BRR,0.10000,8,1,nu_var,500,0.50000,0.03909,CVX
BRR,0.10000,8,1,nu_var,500,0.60000,0.04600,RR
BRR,0.10000,8,1,nu_var,500,0.60000,0.04239,CVX
BRR,0.10000,8,1,nu_var,500,0.70000,0.04839,RR
BRR,0.10000,8,1,nu_var,500,0.70000,0.04468,CVX
BRR,0.10000,8,1,nu_var,500,0.80000,0.05187,RR
BRR,0.10000,8,1,nu_var,500,0.80000,0.04652,CVX
BRR,0.10000,8,1,nu_var,500,0.90000,0.05436,RR
BRR,0.10000,8,1,nu_var,500,0.90000,0.04953,CVX
BRR,0.10000,8,1,nu_var,500,1.00000,0.05653,RR
BRR,0.10000,8,1,nu_var,500,1.00000,0.05183,CVX
BRR,0.10000,8,1,nu_var,1000,0.00000,0.01970,RR
BRR,0.10000,8,1,nu_var,1000,0.00000,0.01953,CVX
BRR,0.10000,8,1,nu_var,1000,0.10000,0.02189,RR
BRR,0.10000,8,1,nu_var,1000,0.10000,0.02183,CVX
BRR,0.10000,8,1,nu_var,1000,0.20000,0.02422,RR
BRR,0.10000,8,1,nu_var,1000,0.20000,0.02370,CVX
BRR,0.10000,8,1,nu_var,1000,0.30000,0.02653,RR
BRR,0.10000,8,1,nu_var,1000,0.30000,0.02509,CVX
BRR,0.10000,8,1,nu_var,1000,0.40000,0.02881,RR
BRR,0.10000,8,1,nu_var,1000,0.40000,0.02719,CVX
BRR,0.10000,8,1,nu_var,1000,0.50000,0.03049,RR
BRR,0.10000,8,1,nu_var,1000,0.50000,0.02797,CVX
BRR,0.10000,8,1,nu_var,1000,0.60000,0.03253,RR
BRR,0.10000,8,1,nu_var,1000,0.60000,0.03014,CVX
BRR,0.10000,8,1,nu_var,1000,0.70000,0.03457,RR
BRR,0.10000,8,1,nu_var,1000,0.70000,0.03179,CVX
BRR,0.10000,8,1,nu_var,1000,0.80000,0.03675,RR
BRR,0.10000,8,1,nu_var,1000,0.80000,0.03383,CVX
BRR,0.10000,8,1,nu_var,1000,0.90000,0.03851,RR
BRR,0.10000,8,1,nu_var,1000,0.90000,0.03526,CVX
BRR,0.10000,8,1,nu_var,1000,1.00000,0.04063,RR
BRR,0.10000,8,1,nu_var,1000,1.00000,0.03732,CVX
