model_name,epsilon,nu,seed,plot,n_cal,K,values,Method
B,0.20000,NA,1,nlab,100,2,0.17692,RR
B,0.20000,NA,1,nlab,100,2,0.05967,CVX
B,0.20000,NA,1,nlab,100,4,0.18351,RR
B,0.20000,NA,1,nlab,100,4,0.13046,CVX
B,0.20000,NA,1,nlab,100,6,0.18724,RR
B,0.20000,NA,1,nlab,100,6,0.15638,CVX
B,0.20000,NA,1,nlab,100,8,0.19134,RR
B,0.20000,NA,1,nlab,100,8,0.17093,CVX
B,0.20000,NA,1,nlab,100,10,0.19162,RR
B,0.20000,NA,1,nlab,100,10,0.17736,CVX
B,0.20000,NA,1,nlab,100,12,0.19401,RR
B,0.20000,NA,1,nlab,100,12,0.17905,CVX
B,0.20000,NA,1,nlab,100,14,0.19594,RR
B,0.20000,NA,1,nlab,100,14,0.18033,CVX
B,0.20000,NA,1,nlab,100,16,0.19856,RR
B,0.20000,NA,1,nlab,100,16,0.18229,CVX
B,0.20000,NA,1,nlab,100,18,0.19902,RR
B,0.20000,NA,1,nlab,100,18,0.18320,CVX
B,0.20000,NA,1,nlab,100,20,0.19876,RR
B,0.20000,NA,1,nlab,100,20,0.18090,CVX
B,0.20000,NA,1,nlab,500,2,0.08605,RR
B,0.20000,NA,1,nlab,500,2,0.02735,CVX
B,0.20000,NA,1,nlab,500,4,0.08946,RR
B,0.20000,NA,1,nlab,500,4,0.06243,CVX
B,0.20000,NA,1,nlab,500,6,0.09051,RR
B,0.20000,NA,1,nlab,500,6,0.07463,CVX
B,0.20000,NA,1,nlab,500,8,0.09271,RR
B,0.20000,NA,1,nlab,500,8,0.08080,CVX
B,0.20000,NA,1,nlab,500,10,0.09339,RR
B,0.20000,NA,1,nlab,500,10,0.08512,CVX
B,0.20000,NA,1,nlab,500,12,0.09371,RR
B,0.20000,NA,1,nlab,500,12,0.08688,CVX
B,0.20000,NA,1,nlab,500,14,0.09430,RR
B,0.20000,NA,1,nlab,500,14,0.08732,CVX
B,0.20000,NA,1,nlab,500,16,0.09526,RR
B,0.20000,NA,1,nlab,500,16,0.08712,CVX
B,0.20000,NA,1,nlab,500,18,0.09446,RR
B,0.20000,NA,1,nlab,500,18,0.08842,CVX
B,0.20000,NA,1,nlab,500,20,0.09543,RR
B,0.20000,NA,1,nlab,500,20,0.08881,CVX
B,0.20000,NA,1,nlab,1000,2,0.06351,RR
B,0.20000,NA,1,nlab,1000,2,0.01897,CVX
B,0.20000,NA,1,nlab,1000,4,0.06555,RR
B,0.20000,NA,1,nlab,1000,4,0.04532,CVX
B,0.20000,NA,1,nlab,1000,6,0.06694,RR
B,0.20000,NA,1,nlab,1000,6,0.05400,CVX
B,0.20000,NA,1,nlab,1000,8,0.06686,RR
B,0.20000,NA,1,nlab,1000,8,0.05823,CVX
B,0.20000,NA,1,nlab,1000,10,0.06748,RR
B,0.20000,NA,1,nlab,1000,10,0.06131,CVX
B,0.20000,NA,1,nlab,1000,12,0.06830,RR
B,0.20000,NA,1,nlab,1000,12,0.06316,CVX
B,0.20000,NA,1,nlab,1000,14,0.06881,RR
B,0.20000,NA,1,nlab,1000,14,0.06338,CVX
B,0.20000,NA,1,nlab,1000,16,0.06898,RR
B,0.20000,NA,1,nlab,1000,16,0.06359,CVX
B,0.20000,NA,1,nlab,1000,18,0.06885,RR
B,0.20000,NA,1,nlab,1000,18,0.06453,CVX
B,0.20000,NA,1,nlab,1000,20,0.06940,RR
B,0.20000,NA,1,nlab,1000,20,0.06428,CVX
