model_name,epsilon,nu,seed,plot,n_cal,K,values,Method
BRR,0.10000,0.80000,1,Klab,500,4,0.04921,RR
BRR,0.10000,0.80000,1,Klab,500,4,0.03977,CVX
BRR,0.10000,0.80000,1,Klab,1000,4,0.03591,RR
BRR,0.10000,0.80000,1,Klab,1000,4,0.02873,CVX
BRR,0.10000,0.80000,1,Klab,2000,4,0.02576,RR
BRR,0.10000,0.80000,1,Klab,2000,4,0.02057,CVX
BRR,0.10000,0.80000,1,Klab,5000,4,0.01692,RR
BRR,0.10000,0.80000,1,Klab,5000,4,0.01290,CVX
BRR,0.10000,0.80000,1,Klab,10000,4,0.01202,RR
BRR,0.10000,0.80000,1,Klab,10000,4,0.00947,CVX
BRR,0.10000,0.80000,1,Klab,20000,4,0.00878,RR
BRR,0.10000,0.80000,1,Klab,20000,4,0.00669,CVX
BRR,0.10000,0.80000,1,Klab,50000,4,0.00566,RR
BRR,0.10000,0.80000,1,Klab,50000,4,0.00433,CVX
BRR,0.10000,0.80000,1,Klab,500,8,0.05106,RR
BRR,0.10000,0.80000,1,Klab,500,8,0.04719,CVX
BRR,0.10000,0.80000,1,Klab,1000,8,0.03693,RR
BRR,0.10000,0.80000,1,Klab,1000,8,0.03407,CVX
BRR,0.10000,0.80000,1,Klab,2000,8,0.02591,RR
BRR,0.10000,0.80000,1,Klab,2000,8,0.02433,CVX
BRR,0.10000,0.80000,1,Klab,5000,8,0.01725,RR
BRR,0.10000,0.80000,1,Klab,5000,8,0.01580,CVX
BRR,0.10000,0.80000,1,Klab,10000,8,0.01220,RR
BRR,0.10000,0.80000,1,Klab,10000,8,0.01139,CVX
BRR,0.10000,0.80000,1,Klab,20000,8,0.00887,RR
BRR,0.10000,0.80000,1,Klab,20000,8,0.00791,CVX
BRR,0.10000,0.80000,1,Klab,50000,8,0.00573,RR
BRR,0.10000,0.80000,1,Klab,50000,8,0.00518,CVX
BRR,0.10000,0.80000,1,Klab,500,16,0.05144,RR
BRR,0.10000,0.80000,1,Klab,500,16,0.05035,CVX
BRR,0.10000,0.80000,1,Klab,1000,16,0.03762,RR
BRR,0.10000,0.80000,1,Klab,1000,16,0.03566,CVX
BRR,0.10000,0.80000,1,Klab,2000,16,0.02696,RR
BRR,0.10000,0.80000,1,Klab,2000,16,0.02552,CVX
BRR,0.10000,0.80000,1,Klab,5000,16,0.01747,RR
BRR,0.10000,0.80000,1,Klab,5000,16,0.01656,CVX
BRR,0.10000,0.80000,1,Klab,10000,16,0.01249,RR
BRR,0.10000,0.80000,1,Klab,10000,16,0.01187,CVX
BRR,0.10000,0.80000,1,Klab,20000,16,0.00882,RR
BRR,0.10000,0.80000,1,Klab,20000,16,0.00864,CVX
BRR,0.10000,0.80000,1,Klab,50000,16,0.00576,RR
BRR,0.10000,0.80000,1,Klab,50000,16,0.00546,CVX
