model_name,epsilon,K,seed,plot,n_cal,nu,values,Method
BRR,0.50000,16,1,nu_var,100,0.00000,0.06179,RR
BRR,0.50000,16,1,nu_var,100,0.00000,0.06024,CVX
BRR,0.50000,16,1,nu_var,100,0.10000,0.15980,RR
BRR,0.50000,16,1,nu_var,100,0.10000,0.14864,CVX
BRR,0.50000,16,1,nu_var,100,0.20000,0.24086,RR
BRR,0.50000,16,1,nu_var,100,0.20000,0.22185,CVX
BRR,0.50000,16,1,nu_var,100,0.30000,0.31221,RR
BRR,0.50000,16,1,nu_var,100,0.30000,0.28394,CVX
BRR,0.50000,16,1,nu_var,100,0.40000,0.37227,RR
BRR,0.50000,16,1,nu_var,100,0.40000,0.33696,CVX
BRR,0.50000,16,1,nu_var,100,0.50000,0.42231,RR
BRR,0.50000,16,1,nu_var,100,0.50000,0.38267,CVX
BRR,0.50000,16,1,nu_var,100,0.60000,0.46715,RR
BRR,0.50000,16,1,nu_var,100,0.60000,0.42292,CVX
BRR,0.50000,16,1,nu_var,100,0.70000,0.50953,RR
BRR,0.50000,16,1,nu_var,100,0.70000,0.45829,CVX
BRR,0.50000,16,1,nu_var,100,0.80000,0.54278,RR
BRR,0.50000,16,1,nu_var,100,0.80000,0.48965,CVX
BRR,0.50000,16,1,nu_var,100,0.90000,0.57652,RR
BRR,0.50000,16,1,nu_var,100,0.90000,0.51791,CVX
BRR,0.50000,16,1,nu_var,100,1.00000,0.60275,RR
BRR,0.50000,16,1,nu_var,100,1.00000,0.54326,CVX
BRR,0.50000,16,1,nu_var,500,0.00000,0.02776,RR
BRR,0.50000,16,1,nu_var,500,0.00000,0.02738,CVX
BRR,0.50000,16,1,nu_var,500,0.10000,0.07680,RR
BRR,0.50000,16,1,nu_var,500,0.10000,0.07189,CVX
BRR,0.50000,16,1,nu_var,500,0.20000,0.11710,RR
BRR,0.50000,16,1,nu_var,500,0.20000,0.10787,CVX
BRR,0.50000,16,1,nu_var,500,0.30000,0.15108,RR
BRR,0.50000,16,1,nu_var,500,0.30000,0.13863,CVX
BRR,0.50000,16,1,nu_var,500,0.40000,0.18123,RR
BRR,0.50000,16,1,nu_var,500,0.40000,0.16518,CVX
BRR,0.50000,16,1,nu_var,500,0.50000,0.20680,RR
BRR,0.50000,16,1,nu_var,500,0.50000,0.18827,CVX
BRR,0.50000,16,1,nu_var,500,0.60000,0.22885,RR
BRR,0.50000,16,1,nu_var,500,0.60000,0.20800,CVX
BRR,0.50000,16,1,nu_var,500,0.70000,0.24866,RR
BRR,0.50000,16,1,nu_var,500,0.70000,0.22582,CVX
BRR,0.50000,16,1,nu_var,500,0.80000,0.26661,RR
BRR,0.50000,16,1,nu_var,500,0.80000,0.24151,CVX
BRR,0.50000,16,1,nu_var,500,0.90000,0.28111,RR
BRR,0.50000,16,1,nu_var,500,0.90000,0.25551,CVX
BRR,0.50000,16,1,nu_var,500,1.00000,0.29573,RR
BRR,0.50000,16,1,nu_var,500,1.00000,0.26814,CVX
BRR,0.50000,16,1,nu_var,1000,0.00000,0.01951,RR
BRR,0.50000,16,1,nu_var,1000,0.00000,0.01996,CVX
BRR,0.50000,16,1,nu_var,1000,0.10000,0.05568,RR
BRR,0.50000,16,1,nu_var,1000,0.10000,0.05175,CVX
BRR,0.50000,16,1,nu_var,1000,0.20000,0.08503,RR
BRR,0.50000,16,1,nu_var,1000,0.20000,0.07873,CVX
BRR,0.50000,16,1,nu_var,1000,0.30000,0.11019,RR
BRR,0.50000,16,1,nu_var,1000,0.30000,0.10143,CVX
BRR,0.50000,16,1,nu_var,1000,0.40000,0.13203,RR
BRR,0.50000,16,1,nu_var,1000,0.40000,0.12082,CVX
BRR,0.50000,16,1,nu_var,1000,0.50000,0.15059,RR
BRR,0.50000,16,1,nu_var,1000,0.50000,0.13783,CVX
BRR,0.50000,16,1,nu_var,1000,0.60000,0.16756,RR
BRR,0.50000,16,1,nu_var,1000,0.60000,0.15252,CVX
BRR,0.50000,16,1,nu_var,1000,0.70000,0.18165,RR
BRR,0.50000,16,1,nu_var,1000,0.70000,0.16549,CVX
BRR,0.50000,16,1,nu_var,1000,0.80000,0.19468,RR
BRR,0.50000,16,1,nu_var,1000,0.80000,0.17706,CVX
BRR,0.50000,16,1,nu_var,1000,0.90000,0.20524,RR
BRR,0.50000,16,1,nu_var,1000,0.90000,0.18743,CVX
BRR,0.50000,16,1,nu_var,1000,1.00000,0.21651,RR
BRR,0.50000,16,1,nu_var,1000,1.00000,0.19678,CVX
