model_name,epsilon,nu,seed,plot,n_cal,K,values,Method
BRR,0.50000,0.50000,1,Klab,500,4,0.19230,RR
BRR,0.50000,0.50000,1,Klab,500,4,0.11964,CVX
BRR,0.50000,0.50000,1,Klab,1000,4,0.14132,RR
BRR,0.50000,0.50000,1,Klab,1000,4,0.08726,CVX
BRR,0.50000,0.50000,1,Klab,2000,4,0.10345,RR
BRR,0.50000,0.50000,1,Klab,2000,4,0.06340,CVX
BRR,0.50000,0.50000,1,Klab,5000,4,0.06820,RR
BRR,0.50000,0.50000,1,Klab,5000,4,0.04144,CVX
BRR,0.50000,0.50000,1,Klab,10000,4,0.04963,RR
BRR,0.50000,0.50000,1,Klab,10000,4,0.03017,CVX
BRR,0.50000,0.50000,1,Klab,20000,4,0.03611,RR
BRR,0.50000,0.50000,1,Klab,20000,4,0.02176,CVX
BRR,0.50000,0.50000,1,Klab,50000,4,0.02353,RR
BRR,0.50000,0.50000,1,Klab,50000,4,0.01405,CVX
BRR,0.50000,0.50000,1,Klab,500,8,0.19936,RR
BRR,0.50000,0.50000,1,Klab,500,8,0.17095,CVX
BRR,0.50000,0.50000,1,Klab,1000,8,0.14644,RR
BRR,0.50000,0.50000,1,Klab,1000,8,0.12381,CVX
BRR,0.50000,0.50000,1,Klab,2000,8,0.10683,RR
BRR,0.50000,0.50000,1,Klab,2000,8,0.09089,CVX
BRR,0.50000,0.50000,1,Klab,5000,8,0.07013,RR
BRR,0.50000,0.50000,1,Klab,5000,8,0.05976,CVX
BRR,0.50000,0.50000,1,Klab,10000,8,0.05103,RR
BRR,0.50000,0.50000,1,Klab,10000,8,0.04294,CVX
BRR,0.50000,0.50000,1,Klab,20000,8,0.03707,RR
BRR,0.50000,0.50000,1,Klab,20000,8,0.03117,CVX
BRR,0.50000,0.50000,1,Klab,50000,8,0.02420,RR
BRR,0.50000,0.50000,1,Klab,50000,8,0.02028,CVX
BRR,0.50000,0.50000,1,Klab,500,16,0.20574,RR
BRR,0.50000,0.50000,1,Klab,500,16,0.18837,CVX
BRR,0.50000,0.50000,1,Klab,1000,16,0.15070,RR
BRR,0.50000,0.50000,1,Klab,1000,16,0.13778,CVX
BRR,0.50000,0.50000,1,Klab,2000,16,0.10931,RR
BRR,0.50000,0.50000,1,Klab,2000,16,0.10066,CVX
BRR,0.50000,0.50000,1,Klab,5000,16,0.07210,RR
BRR,0.50000,0.50000,1,Klab,5000,16,0.06629,CVX
BRR,0.50000,0.50000,1,Klab,10000,16,0.05230,RR
BRR,0.50000,0.50000,1,Klab,10000,16,0.04827,CVX
BRR,0.50000,0.50000,1,Klab,20000,16,0.03796,RR
BRR,0.50000,0.50000,1,Klab,20000,16,0.03503,CVX
BRR,0.50000,0.50000,1,Klab,50000,16,0.02485,RR
BRR,0.50000,0.50000,1,Klab,50000,16,0.02291,CVX
